region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,pop_density
RO22,2022,58.0,16.7,14.0,70.0
RO31,2022,57.0,16.7,13.7,84.1
RO32,2022,179.0,3.1,42.2,1299.4
RO41,2022,59.0,22.4,17.6,65.1
RO42,2022,74.0,3.8,18.3,52.4
RS11,2022,74.0,14.7,42.7,
RS12,2022,44.0,13.3,21.4,
RS21,2022,30.0,10.5,18.8,
RS22,2022,34.0,14.4,21.0,
SE11,2022,155.0,23.8,57.4,372.1
SE12,2022,99.0,31.5,45.4,45.7
SE21,2022,99.0,21.8,40.3,26.6
SE22,2022,98.0,28.1,49.2,112.8
SE23,2022,111.0,21.0,48.8,71.6
SE31,2022,94.0,25.1,38.3,13.5
SE32,2022,104.0,23.2,42.9,5.3
SE33,2022,122.0,19.5,43.8,3.5
SI03,2022,72.0,10.5,35.7,89.7
SI04,2022,107.0,7.7,45.1,128.8
SK01,2022,150.0,2.3,47.0,359.2
SK02,2022,64.0,16.6,24.8,121.9
SK03,2022,61.0,41.6,26.6,80.8
SK04,2022,53.0,63.2,28.2,101.4
TR10,2022,111.0,9.4,28.2,3059.2
TR21,2022,85.0,7.2,20.4,102.1
TR22,2022,62.0,5.1,23.4,76.2
TR31,2022,84.0,13.0,27.7,379.2
TR32,2022,60.0,7.2,24.6,101.9
TR33,2022,57.0,4.8,18.0,70.4
TR41,2022,74.0,7.8,25.4,150.4
TR42,2022,90.0,9.3,21.9,206.1
TR51,2022,89.0,12.3,33.6,232.5
TR52,2022,55.0,5.5,19.0,52.9
TR61,2022,68.0,8.0,26.7,94.8
TR62,2022,57.0,11.2,21.4,144.2
TR63,2022,45.0,12.2,19.9,147.6
TR71,2022,51.0,7.3,20.1,51.5
TR72,2022,50.0,8.0,22.3,42.0
TR81,2022,53.0,9.8,19.7,110.1
TR82,2022,48.0,5.3,20.0,30.0
TR83,2022,40.0,5.4,19.1,75.2
TR90,2022,38.0,5.8,21.1,77.1
TRA1,2022,40.0,6.7,20.6,26.5
TRA2,2022,28.0,12.3,13.6,36.8
TRB1,2022,37.0,6.0,21.6,48.8
TRB2,2022,25.0,16.6,13.1,53.6
TRC1,2022,50.0,8.8,18.3,192.7
TRC2,2022,26.0,10.8,15.1,116.4
TRC3,2022,35.0,16.7,14.9,92.6
