region_code,year,gdp_pc_pps,unemployment_rate,tertiary_share_25_64,std_gdp_pc_pps,std_unemployment_rate,std_tertiary_share_25_64,mahal_dist,flag_zscore,flag_mahal,flag_iforest,flag_lof,flag_ocsvm,flag_at_least_3,PC1,PC2
FRI1,2022,85.0,13.3,41.2,0.06913550680877417,0.34272068281619295,0.825798770944955,1.0104204110453072,False,False,False,False,False,False,0.5092723460089552,0.6116728687484972
FRI2,2022,73.0,17.0,35.9,-0.3171020307041362,0.8502216182141028,0.3217472917377157,1.0013397658992624,False,False,False,False,False,False,-0.22439383553640183,0.9082786647013117
FRI3,2022,80.0,14.2,36.8,-0.08471970932373887,0.46616685629136,0.4073409391502656,0.470297238912437,False,False,False,False,False,False,0.09274684783900286,0.5795179407276922
FRJ1,2022,74.0,15.6,37.6,-0.28257314664768857,0.6581942372527314,0.4834241812947549,0.9767260656080838,False,False,False,False,False,False,-0.044887177599636875,0.7855490467343956
FRJ2,2022,86.0,9.0,44.3,0.0988181121882987,-0.24707770156516198,1.120621334254849,1.9957146274357516,False,False,False,False,False,False,0.8731630563131215,0.16350080211951235
FRK1,2022,77.0,11.2,33.8,-0.181718796214603,0.054679611374135725,0.12202878110843224,0.11850411610491793,False,False,False,False,False,False,-0.06140111178458664,0.09369164912094734
FRK2,2022,96.0,13.1,46.8,0.37798210531332105,0.31528819982171113,1.3583814659563767,2.178244292864811,False,False,False,False,False,False,1.0867658924168164,0.7742540874253776
FRL0,2022,104.0,12.9,41.9,0.5811171966336743,0.28785571682722966,0.8923716078213824,0.9004672931802653,False,False,False,False,False,False,0.928899746806414,0.5850188118382976
FRM0,2022,76.0,6.1,32.2,-0.214893567035222,-0.6448487049851456,-0.03013770318054501,0.6163844741026021,False,False,False,False,False,False,-0.010143515753759056,-0.6147031929448219
FRY1,2022,66.0,26.9,24.2,-0.5729276062853496,2.208129526440943,-0.7909701246254343,5.768078203220409,False,False,False,False,False,False,-1.4817766333540525,1.7868855961353136
FRY2,2022,69.0,16.5,29.3,-0.4601164194623616,0.7816404107278987,-0.30593945595431743,0.7205519431726959,False,False,False,False,False,False,-0.7235382052438243,0.6227577919515283
FRY3,2022,45.0,27.1,22.0,-1.544898300409602,2.2355620094354247,-1.0001990405227787,6.317555478414481,False,False,False,False,True,False,-2.313990133657666,1.7365080166332945
FRY4,2022,63.0,25.5,24.0,-0.6909876757017978,2.0161021454795716,-0.8099909351615564,4.821248406824888,False,False,False,False,False,False,-1.5296544528455505,1.6001651744064058
FRY5,2022,27.0,,,-2.8412888492614132,-0.1922127355761987,-0.06817932425278966,13.833051603883572,False,False,False,True,True,False,-2.0049220363698366,-0.21090875759762376
HR02,2022,50.0,16.5,17.4,-1.2775108195037292,0.7816404107278987,-1.43767768285359,2.768112586546373,False,False,False,False,False,False,-2.049947327619802,0.2223139641802422
